,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
309,OCSL,Oaktree Specialty Lending Corporation,1.56B,0.76%,191857,398.09M
310,CHCO,City Holding Company,1.55B,-1.18%,7181,286.63M
311,FIHL,Fidelis Insurance Holdings Limited,1.50B,1.29%,120849,3.60B
312,EFSC,Enterprise Financial Services Corp,1.50B,-0.25%,15812,594.71M
313,HTLF,"Heartland Financial USA, Inc.",1.49B,-1.89%,48581,558.60M
314,NWBI,"Northwest Bancshares, Inc.",1.48B,-1.46%,384867,526.63M
315,FBNC,First Bancorp,1.44B,-0.26%,16331,386.34M
316,HMN,Horace Mann Educators Corporation,1.44B,-0.63%,23402,1.49B
317,DWAC,Digital World Acquisition Corp.,1.43B,-2.23%,372313,-
318,SKWD,"Skyward Specialty Insurance Group, Inc.",1.42B,0.06%,40887,827.04M
319,NTB,The Bank of N.T. Butterfield & Son Limited,1.42B,0.33%,38063,578.60M
320,FINV,FinVolution Group,1.40B,0.20%,172778,1.70B
321,FCF,First Commonwealth Financial Corporation,1.38B,0.52%,66804,467.47M
322,SYBT,"Stock Yards Bancorp, Inc.",1.36B,-0.95%,35496,325.76M
323,HOPE,"Hope Bancorp, Inc.",1.35B,-0.71%,66766,542.34M
324,NMFC,New Mountain Finance Corporation,1.31B,0.47%,210631,374.84M
325,BUSE,First Busey Corporation,1.31B,0.13%,13231,439.44M
326,CASH,"Pathward Financial, Inc.",1.30B,-0.61%,26675,659.96M
327,NBHC,National Bank Holdings Corporation,1.30B,0.60%,27845,417.57M
328,STEL,"Stellar Bancorp, Inc.",1.29B,-0.25%,108306,452.38M
329,WABC,Westamerica Bancorporation,1.29B,-0.87%,10569,324.80M
330,WT,"WisdomTree, Inc.",1.28B,1.07%,257239,349.04M
331,SRCE,1st Source Corporation,1.26B,0.62%,12296,363.40M
332,LMND,"Lemonade, Inc.",1.24B,-2.14%,1322656,429.80M
333,PWP,Perella Weinberg Partners,1.24B,-1.12%,51029,648.65M
334,TRUP,"Trupanion, Inc.",1.23B,-2.84%,94838,1.11B
335,NIC,"Nicolet Bankshares, Inc.",1.23B,0.16%,10993,272.50M
336,NRDS,"NerdWallet, Inc.",1.23B,0.69%,85351,599.40M
337,STBA,"S&T Bancorp, Inc.",1.23B,-1.25%,24477,389.14M
338,ECPG,"Encore Capital Group, Inc.",1.18B,-1.32%,58017,1.22B
339,TCBK,TriCo Bancshares,1.18B,-1.27%,8189,407.96M
340,SAFT,"Safety Insurance Group, Inc.",1.16B,0.23%,8888,930.96M
341,PFS,"Provident Financial Services, Inc.",1.15B,0.59%,70264,451.38M
342,EIG,"Employers Holdings, Inc.",1.13B,-0.47%,14954,850.90M
343,CET,Central Securities Corp.,1.12B,-0.29%,5271,57.37M
344,VBTX,"Veritex Holdings, Inc.",1.11B,-1.49%,209587,377.75M
345,HCI,"HCI Group, Inc.",1.10B,-0.32%,83818,550.67M
346,CSWC,Capital Southwest Corporation,1.05B,0.78%,178373,168.90M
347,CIFR,Cipher Mining Inc.,1.04B,-9.97%,4467424,-
348,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",1.04B,0.88%,18914,166.67M
349,PFBC,Preferred Bank,1.04B,-2.32%,15286,351.76M
350,BBDC,"Barings BDC, Inc.",1.03B,-2.48%,469180,289.20M
351,BCSF,"Bain Capital Specialty Finance, Inc.",1.02B,0.25%,101220,297.79M
352,PEBO,Peoples Bancorp Inc.,1.01B,-0.98%,12157,411.61M
353,PRAA,"PRA Group, Inc.",1.01B,-2.17%,16334,802.55M
354,AMSF,"AMERISAFE, Inc.",1.01B,-0.55%,17484,306.85M
355,SASR,"Sandy Spring Bancorp, Inc.",1.01B,-1.03%,124044,439.19M
356,SCRM,Screaming Eagle Acquisition Corp.,1.00B,-,41945,-
357,GABC,"German American Bancorp, Inc.",993.89M,-0.12%,56679,248.14M
358,BHLB,"Berkshire Hills Bancorp, Inc.",981.55M,-0.44%,24379,411.83M
359,CVII,Churchill Capital Corp VII,976.99M,0.19%,7005,-
360,RBCAA,"Republic Bancorp, Inc.",971.87M,-0.44%,394,311.88M
361,QCRH,"QCR Holdings, Inc.",967.27M,-0.82%,12698,337.15M
362,MFIC,MidCap Financial Investment Corporation,966.40M,0.14%,100774,276.52M
363,OBK,"Origin Bancorp, Inc.",964.98M,-0.26%,18127,341.14M
