,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
252,CNNE,"Cannae Holdings, Inc.",1.59B,0.23%,128328,570.00M
253,CBRL,"Cracker Barrel Old Country Store, Inc.",1.57B,-3.52%,144162,3.43B
254,BYON,"Beyond, Inc.",1.56B,-2.70%,313595,1.56B
255,LZB,La-Z-Boy Incorporated,1.56B,0.27%,164060,2.05B
256,AMWD,American Woodmark Corporation,1.52B,-0.49%,21007,1.88B
257,FWRG,"First Watch Restaurant Group, Inc.",1.50B,-1.44%,219386,891.55M
258,RVLV,"Revolve Group, Inc.",1.46B,4.03%,238061,1.07B
259,LESL,"Leslie's, Inc.",1.45B,0.64%,454737,1.43B
260,JACK,Jack in the Box Inc.,1.42B,1.89%,72405,1.65B
261,XPEL,"XPEL, Inc.",1.41B,1.45%,10161,396.29M
262,VSCO,Victoria's Secret & Co.,1.40B,5.02%,1666660,6.12B
263,GES,"Guess', Inc.",1.38B,-0.86%,108767,2.70B
264,GIII,"G-III Apparel Group, Ltd.",1.35B,-0.27%,98371,3.19B
265,SBH,"Sally Beauty Holdings, Inc.",1.35B,-9.42%,580901,3.70B
266,MCRI,"Monarch Casino & Resort, Inc.",1.32B,2.20%,65471,501.48M
267,CAL,"Caleres, Inc.",1.32B,-0.43%,54226,2.82B
268,PLYA,Playa Hotels & Resorts N.V.,1.32B,-0.10%,87676,977.50M
269,RSI,"Rush Street Interactive, Inc.",1.31B,-0.52%,377683,691.16M
270,MSC,Studio City International Holdings Limited,1.30B,-0.80%,102,445.54M
271,OSW,OneSpaWorld Holdings Limited,1.27B,-2.20%,76185,794.05M
272,OLPX,"Olaplex Holdings, Inc.",1.27B,-2.60%,253022,458.30M
273,CWH,"Camping World Holdings, Inc.",1.25B,-2.38%,210249,6.23B
274,GOOS,Canada Goose Holdings Inc.,1.25B,-0.39%,250011,954.14M
275,WINA,Winmark Corporation,1.23B,-2.47%,8917,83.24M
276,NWTN,NWTN Inc.,1.21B,17.69%,132875,583.00K
277,CARS,Cars.com Inc.,1.18B,-4.05%,42973,689.18M
278,SHCO,Soho House & Co Inc.,1.15B,-1.16%,15847,1.12B
279,EXTO,Almacenes Éxito S.A.,1.13B,0.41%,41422,5.45B
280,KRUS,"Kura Sushi USA, Inc.",1.07B,-3.45%,10117,199.59M
281,BLBD,Blue Bird Corporation,1.05B,1.51%,108061,1.21B
282,TRS,TriMas Corporation,1.02B,-1.70%,47490,893.55M
283,BZH,"Beazer Homes USA, Inc.",981.05M,-1.06%,48338,2.15B
284,NGMS,NeoGames S.A.,968.60M,-0.17%,7053,191.54M
285,GDEN,"Golden Entertainment, Inc.",965.58M,1.49%,27476,1.05B
286,ACEL,"Accel Entertainment, Inc.",959.55M,-0.44%,65877,1.17B
287,MNRO,"Monro, Inc.",949.99M,-1.88%,68284,1.28B
288,FIGS,"FIGS, Inc.",937.91M,0.18%,3124904,545.65M
289,HIBB,"Hibbett, Inc.",911.84M,-4.00%,49799,1.72B
290,TILE,"Interface, Inc.",900.95M,-1.81%,43880,1.26B
291,HOV,"Hovnanian Enterprises, Inc.",884.22M,-2.14%,24127,2.83B
292,EVGO,"EVgo, Inc.",874.40M,-5.52%,1638099,160.95M
293,BJRI,"BJ's Restaurants, Inc.",863.88M,-2.62%,74316,1.33B
294,PTLO,Portillo's Inc.,852.52M,-0.72%,146376,679.91M
295,SCVL,"Shoe Carnival, Inc.",847.32M,-0.09%,25283,1.19B
296,MBUU,"Malibu Boats, Inc.",846.86M,-2.85%,35343,1.21B
297,ETD,Ethan Allen Interiors Inc.,839.96M,-1.06%,36329,704.86M
298,LAZR,"Luminar Technologies, Inc.",822.68M,-6.76%,2996303,69.78M
299,CHPT,"ChargePoint Holdings, Inc.",808.32M,-,6117203,543.63M
300,WWW,"Wolverine World Wide, Inc.",797.46M,-3.00%,159232,2.24B
301,AXL,"American Axle & Manufacturing Holdings, Inc.",783.20M,-0.30%,575662,6.08B
302,EVRI,Everi Holdings Inc.,782.91M,-2.10%,138096,807.82M
303,MYE,"Myers Industries, Inc.",781.97M,-1.23%,47212,813.07M
304,SABR,Sabre Corporation,777.94M,-4.72%,1172849,2.91B
305,DIN,"Dine Brands Global, Inc.",768.14M,-3.69%,288235,831.07M
306,ARKO,Arko Corp.,754.66M,-2.34%,64223,9.41B
307,WOOF,"Petco Health and Wellness Company, Inc.",712.84M,0.38%,1168135,6.16B
308,JMIA,Jumia Technologies AG,712.36M,-8.05%,1846991,207.11M
309,HZO,"MarineMax, Inc.",695.97M,2.59%,134095,2.41B
310,HSAI,Hesai Group,682.91M,-6.77%,1921168,237.28M
311,BWMX,"Betterware de México, S.A.P.I. de C.V.",679.16M,-2.45%,18805,737.67M
312,SMP,"Standard Motor Products, Inc.",675.10M,1.15%,17350,1.36B
313,ECX,"ECARX Holdings, Inc.",671.42M,-,7538,4.67B
314,FLWS,"1-800-FLOWERS.COM, Inc.",659.16M,-0.59%,49906,1.91B
315,XPOF,"Xponential Fitness, Inc.",653.92M,-0.58%,44471,318.66M
316,DADA,Dada Nexus Limited,649.79M,9.09%,784434,1.50B
317,DESP,"Despegar.com, Corp.",646.03M,2.52%,79684,647.92M
318,BALY,Bally's Corporation,622.52M,28.44%,1769896,2.41B
319,LEGH,Legacy Housing Corporation,619.06M,-1.50%,10210,230.98M
320,MOV,"Movado Group, Inc.",609.63M,-1.01%,269993,687.25M
321,SDA,SunCar Technology Group Inc.,597.35M,0.59%,138164,317.06M
322,SES,SES AI Corporation,589.24M,-6.63%,189631,-
323,KRT,Karat Packaging Inc.,584.16M,0.41%,7311,402.74M
324,PLOW,"Douglas Dynamics, Inc.",583.33M,-1.46%,41817,568.18M
325,CHUY,"Chuy's Holdings, Inc.",581.31M,-1.88%,22722,461.31M
326,BH,Biglari Holdings Inc.,572.02M,0.53%,871,365.32M
327,DBI,Designer Brands Inc.,570.28M,2.29%,188212,3.08B
328,QRTEA,"Qurate Retail, Inc.",562.71M,-2.58%,596522,10.92B
329,MLR,"Miller Industries, Inc.",551.45M,-0.85%,10842,1.15B
330,LQDT,"Liquidity Services, Inc.",545.88M,-0.23%,25637,313.51M
331,QRTEB,"Qurate Retail, Inc.",543.65M,1.65%,734,10.92B
332,HVT.A,"Haverty Furniture Companies, Inc.",536.14M,-4.08%,8,862.13M
333,HVT,"Haverty Furniture Companies, Inc.",528.49M,-3.58%,22746,862.13M
334,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,528.12M,-3.70%,188049,907.59M
335,RICK,"RCI Hospitality Holdings, Inc.",523.11M,-0.97%,6991,297.73M
336,TAST,"Carrols Restaurant Group, Inc.",516.08M,0.11%,419448,1.88B
337,CURV,Torrid Holdings Inc.,506.98M,-2.77%,8102,1.19B
338,DENN,Denny's Corporation,487.00M,-1.72%,63682,463.92M
339,HLLY,Holley Inc.,482.33M,-0.49%,69950,658.16M
340,SRI,"Stoneridge, Inc.",464.28M,-1.36%,10863,975.82M
341,JOUT,Johnson Outdoors Inc.,451.45M,-0.41%,6427,624.15M
342,HNST,"The Honest Company, Inc.",447.71M,5.66%,1836335,344.37M
343,LIND,"Lindblad Expeditions Holdings, Inc.",443.99M,-2.24%,66290,569.54M
344,MED,"Medifast, Inc.",432.12M,-5.04%,80963,1.07B
345,CRMT,"America's Car-Mart, Inc.",425.13M,-1.10%,62648,1.42B
346,NEGG,"Newegg Commerce, Inc.",402.94M,3.92%,269306,-
347,CSV,"Carriage Services, Inc.",392.16M,0.31%,8834,382.52M
348,ONEW,OneWater Marine Inc.,383.04M,1.34%,16605,1.93B
349,SNBR,Sleep Number Corporation,377.84M,-3.53%,558033,1.89B
350,PBPB,Potbelly Corporation,377.33M,-8.48%,190023,491.41M
351,PACK,Ranpak Holdings Corp.,376.68M,-4.17%,159082,325.30M
352,MPX,Marine Products Corporation,366.95M,1.04%,4643,383.73M
353,FNKO,"Funko, Inc.",364.06M,-9.48%,143764,1.10B
354,MCFT,"MasterCraft Boat Holdings, Inc.",360.61M,-0.33%,37995,537.04M
355,REAL,"The RealReal, Inc.",353.86M,-7.65%,2250594,549.30M
356,AGS,"PlayAGS, Inc.",352.61M,-0.33%,28429,356.54M
357,GGR,Gogoro Inc.,347.04M,-5.63%,290842,349.85M
358,UHG,"United Homes Group, Inc.",346.71M,-0.99%,2000,419.74M
359,BBW,"Build-A-Bear Workshop, Inc.",345.77M,0.87%,36638,481.95M
360,LOVE,The Lovesac Company,344.17M,-0.86%,57684,688.24M
361,AEVA,"Aeva Technologies, Inc.",340.46M,-1.52%,647204,2.89M
362,MYTE,MYT Netherlands Parent B.V.,330.22M,1.04%,63161,874.94M
363,NAAS,NaaS Technology Inc.,327.71M,11.94%,521317,-
