,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
244,LDWY,"Lendway, Inc.",8.29M,8.60%,30388,23.57M
245,ASST,Asset Entities Inc.,8.13M,-0.35%,47372,259.15K
246,LCFY,Locafy Limited,7.66M,-0.08%,455,-
247,CPOP,"Pop Culture Group Co., Ltd",7.44M,-5.25%,31218,18.54M
248,CNET,ZW Data Action Technologies Inc.,6.56M,5.20%,1095,29.74M
249,GXAI,Gaxos.ai Inc.,6.13M,-6.10%,93633,-
250,MSGM,Motorsport Games Inc.,6.13M,-0.45%,705,8.93M
251,ANTE,AirNet Technology Inc.,5.85M,10.00%,44349,918.00K
252,CSSE,"Chicken Soup for the Soul Entertainment, Inc.",5.59M,-1.36%,144431,368.81M
253,BAOS,Baosheng Media Group Holdings Limited,5.45M,1.43%,5132,3.46M
254,MGOL,MGO Global Inc.,5.44M,0.68%,145484,4.47M
255,ADD,"Color Star Technology Co., Ltd.",5.09M,-4.47%,47834,-
256,MGAM,Mobile Global Esports Inc.,4.47M,1.42%,32015,-
257,TC,TuanChe Limited,3.10M,-1.62%,14093,25.71M
258,ONFO,"Onfolio Holdings, Inc.",2.45M,-1.72%,17789,5.10M
259,GROM,"Grom Social Enterprises, Inc.",2.11M,0.93%,591421,4.70M
