,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
221,CRS,Carpenter Technology Corporation,3.36B,-1.24%,56601,2.72B
222,JBT,John Bean Technologies Corporation,3.31B,-1.52%,82628,1.66B
223,REZI,"Resideo Technologies, Inc.",3.24B,2.02%,97439,6.24B
224,ARCB,ArcBest Corporation,3.22B,-0.55%,67099,4.43B
225,UNF,UniFirst Corporation,3.17B,-0.25%,4175,2.28B
226,WOR,"Worthington Industries, Inc.",3.16B,-2.01%,65729,4.61B
227,SEB,Seaboard Corporation,3.12B,-0.50%,252,9.56B
228,HAYW,"Hayward Holdings, Inc.",3.00B,-1.96%,137043,992.45M
229,MGRC,McGrath RentCorp,2.95B,-1.22%,49317,831.84M
230,ICFI,"ICF International, Inc.",2.90B,-0.84%,10101,1.96B
231,DOOR,Masonite International Corporation,2.87B,0.26%,153894,2.83B
232,BRC,Brady Corporation,2.77B,0.47%,51984,1.34B
233,KTOS,"Kratos Defense & Security Solutions, Inc.",2.76B,-1.89%,820763,1.04B
234,PLUG,Plug Power Inc.,2.75B,-8.96%,15645389,891.34M
235,ROAD,"Construction Partners, Inc.",2.73B,-0.48%,84821,1.62B
236,SKYW,"SkyWest, Inc.",2.72B,-1.36%,299282,2.94B
237,MYRG,MYR Group Inc.,2.71B,-2.57%,7988,3.64B
238,GOGL,Golden Ocean Group Limited,2.68B,-3.70%,774997,885.77M
239,HUBG,"Hub Group, Inc.",2.67B,-0.75%,41412,4.20B
240,ABM,ABM Industries Incorporated,2.65B,0.21%,70035,8.17B
241,LZ,"LegalZoom.com, Inc.",2.51B,0.97%,1003735,660.73M
242,WERN,"Werner Enterprises, Inc.",2.48B,1.32%,84090,3.28B
243,MWA,"Mueller Water Products, Inc.",2.46B,-0.13%,110208,1.22B
244,RXO,"RXO, Inc.",2.45B,3.44%,74058,3.93B
245,JBLU,JetBlue Airways Corporation,2.44B,-2.09%,2293485,9.62B
246,ALG,Alamo Group Inc.,2.43B,-0.42%,25021,1.69B
247,HTZ,"Hertz Global Holdings, Inc.",2.40B,-0.38%,1651432,9.37B
248,PGTI,"PGT Innovations, Inc.",2.40B,-,771807,1.50B
249,GVA,Granite Construction Incorporated,2.39B,1.84%,59395,3.51B
250,ROCK,"Gibraltar Industries, Inc.",2.33B,-1.49%,22269,1.38B
251,FA,First Advantage Corporation,2.32B,-1.22%,312650,763.76M
252,BE,Bloom Energy Corporation,2.32B,1.45%,1529084,1.33B
253,IESC,"IES Holdings, Inc.",2.30B,-9.48%,135052,2.44B
254,AIR,AAR Corp.,2.29B,-1.63%,39003,2.17B
255,MIR,"Mirion Technologies, Inc.",2.28B,-0.79%,582614,800.90M
256,PRIM,Primoris Services Corporation,2.17B,-0.70%,70969,5.72B
257,RKLB,"Rocket Lab USA, Inc.",2.16B,1.36%,4157086,244.59M
258,TRN,"Trinity Industries, Inc.",2.15B,-0.84%,120879,2.98B
259,JBI,"Janus International Group, Inc.",2.13B,-0.41%,501431,1.07B
260,HEES,"H&E Equipment Services, Inc.",2.13B,-3.87%,53557,1.47B
261,SBLK,Star Bulk Carriers Corp.,2.09B,-1.43%,473079,-
262,TGH,Textainer Group Holdings Limited,2.07B,0.12%,197905,789.86M
263,ENR,"Energizer Holdings, Inc.",2.06B,0.66%,78092,2.91B
264,TNC,Tennant Company,2.06B,0.44%,25647,1.24B
265,SXI,Standex International Corporation,2.05B,-0.27%,6622,735.83M
266,ATMU,Atmus Filtration Technologies Inc.,2.05B,2.93%,2966967,1.63B
267,HNI,HNI Corporation,2.03B,-1.92%,49874,2.43B
268,KMT,Kennametal Inc.,2.02B,-2.08%,69509,2.07B
269,B,Barnes Group Inc.,1.91B,-1.27%,35282,1.45B
270,HLMN,Hillman Solutions Corp.,1.90B,0.62%,343434,1.48B
271,SFL,SFL Corporation Ltd.,1.86B,-0.66%,171241,670.39M
272,MRCY,"Mercury Systems, Inc.",1.85B,-0.48%,56781,895.17M
273,CODI,Compass Diversified,1.82B,-1.67%,41741,2.06B
274,EPAC,Enerpac Tool Group Corp.,1.82B,-1.31%,21089,600.79M
275,POWL,"Powell Industries, Inc.",1.80B,0.78%,99763,766.47M
276,HURN,Huron Consulting Group Inc.,1.80B,0.35%,90127,1.40B
277,AZZ,AZZ Inc.,1.79B,-0.74%,13638,1.51B
278,UPWK,Upwork Inc.,1.78B,-1.01%,303132,689.14M
279,GIC,Global Industrial Company,1.71B,0.45%,64655,1.21B
280,UP,Wheels Up Experience Inc.,1.69B,-,258828,1.25B
281,ULCC,"Frontier Group Holdings, Inc.",1.64B,-0.27%,543709,3.59B
282,GBX,"The Greenbrier Companies, Inc.",1.59B,-1.48%,78541,3.99B
283,HOLI,Hollysys Automation Technologies Ltd.,1.58B,0.83%,1066731,786.22M
284,BBU,Brookfield Business Partners L.P.,1.58B,0.14%,3484,55.07B
285,NVEE,"NV5 Global, Inc.",1.57B,0.40%,7788,861.74M
286,JELD,"JELD-WEN Holding, Inc.",1.57B,0.71%,153711,4.30B
287,MRTN,"Marten Transport, Ltd.",1.54B,-0.05%,150146,1.13B
288,ENVX,Enovix Corporation,1.53B,-0.99%,1320027,7.64M
289,FLYX,"flyExclusive, Inc.",1.51B,6.22%,11245,497.41M
290,GEO,"The GEO Group, Inc.",1.50B,-0.25%,413426,2.41B
291,HLIO,"Helios Technologies, Inc.",1.50B,-3.28%,31001,835.60M
292,NSSC,"Napco Security Technologies, Inc.",1.49B,-2.21%,138750,177.41M
293,SCS,Steelcase Inc.,1.48B,-1.23%,113461,3.19B
294,EVEX,"Eve Holding, Inc.",1.46B,-4.05%,6526,-
295,CDRE,"Cadre Holdings, Inc.",1.45B,-1.12%,38147,481.59M
296,DSGR,"Distribution Solutions Group, Inc.",1.44B,-1.44%,5843,1.57B
297,KFRC,Kforce Inc.,1.43B,-3.01%,20540,1.53B
298,ACHR,Archer Aviation Inc.,1.42B,4.37%,4768801,-
299,VVX,"V2X, Inc.",1.40B,-1.89%,14219,3.96B
300,PRG,"PROG Holdings, Inc.",1.38B,-0.91%,94600,2.41B
301,DAC,Danaos Corporation,1.37B,-0.25%,14829,973.58M
302,CDLR,Cadeler A/S,1.37B,-4.21%,108165,-
303,ZIM,ZIM Integrated Shipping Services Ltd.,1.37B,3.82%,1712412,6.15B
304,ASPN,"Aspen Aerogels, Inc.",1.33B,2.35%,241404,238.72M
305,NMM,Navios Maritime Partners L.P.,1.33B,0.81%,174638,1.35B
306,ALGT,Allegiant Travel Company,1.33B,-2.17%,34265,2.51B
307,CMRE,Costamare Inc.,1.32B,-1.40%,134177,1.51B
308,KAMN,Kaman Corporation,1.29B,0.44%,230897,775.85M
309,LNN,Lindsay Corporation,1.27B,0.95%,12704,659.28M
310,WNC,Wabash National Corporation,1.25B,-1.61%,62487,2.54B
311,APOG,"Apogee Enterprises, Inc.",1.25B,0.44%,67048,1.40B
312,MEG,"Montrose Environmental Group, Inc.",1.25B,10.30%,101963,624.21M
313,ZIP,"ZipRecruiter, Inc.",1.23B,-0.48%,49668,645.72M
314,CTOS,"Custom Truck One Source, Inc.",1.23B,4.89%,331279,1.87B
315,CMCO,Columbus McKinnon Corporation,1.22B,-0.42%,7786,1.00B
316,VSEC,VSE Corporation,1.18B,-2.09%,56727,860.49M
317,TGI,"Triumph Group, Inc.",1.13B,-4.50%,234416,1.36B
318,NX,Quanex Building Products Corporation,1.12B,2.51%,37204,1.11B
319,AMRC,"Ameresco, Inc.",1.10B,0.90%,98485,1.37B
320,ARLO,"Arlo Technologies, Inc.",1.07B,-1.07%,189518,491.18M
321,RYI,Ryerson Holding Corporation,1.04B,0.78%,30731,5.11B
322,TDCX,TDCX Inc.,1.04B,0.14%,260137,498.75M
323,BXC,BlueLinx Holdings Inc.,1.04B,-1.82%,11215,3.14B
324,SP,SP Plus Corporation,1.02B,0.12%,9925,1.78B
325,HY,"Hyster-Yale Materials Handling, Inc.",1.02B,-0.45%,9675,4.12B
326,BLDP,Ballard Power Systems Inc.,996.84M,-9.37%,3050688,102.37M
327,GRC,The Gorman-Rupp Company,984.76M,-1.17%,5910,659.51M
328,CRAI,"CRA International, Inc.",984.23M,-0.32%,9848,623.98M
329,ULH,"Universal Logistics Holdings, Inc.",968.57M,-3.75%,6310,1.73B
330,HTLD,"Heartland Express, Inc.",965.99M,-0.82%,38647,1.21B
331,ECO,Okeanis Eco Tankers Corp.,956.81M,-0.17%,21339,413.10M
332,HRT,HireRight Holdings Corporation,953.69M,-,94809,731.20M
333,REVG,"REV Group, Inc.",951.31M,-1.39%,139252,2.64B
334,CPLP,Capital Product Partners L.P.,951.19M,-0.86%,5896,360.59M
335,ASTE,"Astec Industries, Inc.",950.22M,-3.23%,18707,1.34B
336,TRNS,"Transcat, Inc.",949.57M,1.54%,7833,250.64M
337,PRLB,"Proto Labs, Inc.",940.40M,-2.60%,14486,503.88M
338,FWRD,Forward Air Corporation,936.54M,-1.22%,213873,1.72B
339,THR,"Thermon Group Holdings, Inc.",935.58M,2.13%,24972,489.46M
340,BV,"BrightView Holdings, Inc.",934.56M,-2.02%,71894,2.79B
341,TWI,"Titan International, Inc.",921.77M,-1.10%,280750,1.82B
342,NKLA,Nikola Corporation,913.56M,-1.18%,34202973,35.84M
343,MATW,Matthews International Corporation,909.11M,0.47%,18790,1.88B
344,KRNT,Kornit Digital Ltd.,900.93M,-1.55%,52516,219.79M
345,GNK,Genco Shipping & Trading Limited,884.95M,0.34%,185219,383.83M
346,XMTR,"Xometry, Inc.",882.66M,2.42%,139681,463.41M
347,TH,Target Hospitality Corp.,876.32M,-1.28%,54541,589.83M
348,KELYB,"Kelly Services, Inc.",873.23M,-3.30%,31,4.84B
349,KELYA,"Kelly Services, Inc.",872.88M,-2.63%,42309,4.84B
350,ERII,"Energy Recovery, Inc.",867.59M,-0.99%,103997,128.35M
351,ATSG,"Air Transport Services Group, Inc.",863.72M,-2.97%,79213,2.07B
352,NAT,Nordic American Tankers Limited,843.54M,-0.25%,753642,339.34M
353,VLRS,"Controladora Vuela Compañía de Aviación, SAB de CV",842.86M,-0.81%,79786,2.85B
354,SKYH,Sky Harbour Group Corporation,842.10M,0.55%,28439,5.95M
355,AZUL,Azul S.A.,841.67M,-2.16%,363476,3.01B
356,CYRX,"Cryoport, Inc.",825.04M,-2.79%,50899,236.35M
357,RGR,"Sturm, Ruger & Company, Inc.",801.60M,0.09%,34463,543.77M
358,SWBI,"Smith & Wesson Brands, Inc.",795.64M,0.72%,494987,521.46M
359,PCT,"PureCycle Technologies, Inc.",790.45M,-6.24%,736004,-
360,SPLP,Steel Partners Holdings L.P.,788.52M,2.70%,658,1.91B
361,BBSI,"Barrett Business Services, Inc.",780.55M,-0.56%,5711,1.07B
362,VVI,Viad Corp,771.82M,-0.76%,65267,1.24B
363,CECO,CECO Environmental Corp.,769.85M,0.77%,78993,544.85M
364,HAYN,"Haynes International, Inc.",759.57M,0.12%,52798,604.64M
365,SNCY,"Sun Country Airlines Holdings, Inc.",746.07M,-2.78%,95938,1.05B
366,DCO,Ducommun Incorporated,726.79M,1.23%,22371,756.99M
367,PBI,Pitney Bowes Inc.,723.77M,-0.73%,408367,3.27B
